name,symbol,gecko_id
Tether,USDT,tether
USD Coin,USDC,usd-coin
TerraClassicUSD,USTC,terrausd
Binance USD,BUSD,binance-usd
Dai,DAI,dai
Frax,FRAX,frax
TrueUSD,TUSD,true-usd
Liquity USD,LUSD,liquity-usd
Fei USD,FEI,fei-usd
Magic Internet Money,MIM,magic-internet-money
Pax Dollar,USDP,paxos-standard
Neutrino USD,USDN,neutrino
YUSD Stablecoin,YUSD,yusd-stablecoin
USDD,USDD,usdd
Dola,DOLA,dola-usd
Parrot USD,PAI,parrot-usd
HUSD,HUSD,husd
Nexus USD,NUSD,nexus-usd
Gemini Dollar,GUSD,gemini-dollar
Alchemix USD,ALUSD,alchemix-usd
flexUSD,FLEXUSD,flex-usd
sUSD,SUSD,nusd
Origin Dollar,OUSD,origin-dollar
Celo Dollar,CUSD,celo-dollar
Reserve,RSV,reserve
mStable USD,MUSD,musd
USDK,USDK,usdk
Vai,VAI,vai
TOR,TOR,tor
Dollar on Chain,DOC,doc
SpiceUSD,USDS,spiceusd
Sperax USD,USDS,sperax-usd
USDP Stablecoin,USDP,usdp
USD Balance,USDB,usd-balance
USDJ,USDJ,just-stablecoin
STBL,STBL,algostable
VOLT Protocol,VOLT,volt-protocol
Rai Reflex Index,RAI,rai
Float Protocol Float,FLOAT,float-protocol-float
USDX,USDX,usdx
ZUSD,ZUSD,zusd
dForce USD,USX,token-dforce-usd
aUSD Seed,aSEED,acala-dollar
USD+,USD+,usd
BAI Stablecoin,BAI,bai-stablecoin
Euro Tether,EURT,tether-eurt
EURC,EURC,euro-coin
Stasis Euro,EURS,stasis-eurs
Celo Euro,CEUR,celo-euro
sEUR,SEUR,seur
USN,USN,usn
EURA,EURA,ageur
Parallel,PAR,par-stablecoin
Hedge USD,USH,hedge-usd
3USD,3USD,three-usd
SigmaUSD,SIGUSD,sigmausd
HomeCoin,HOME,bacon-protocol-home
Fixed Income Asset Token,FIAT,fixed-income-asset-token
PUSd,PUSD,pusd-2
Fantom USD,FUSD,fantom-usd
UXD Stablecoin,UXD,uxd-stablecoin
USDH,USDH,usdh
Frax Price Index,FPI,frax-price-index
Bean,BEAN,bean
USDLemma,USDL,usdlemma
DigitalDollar,DUSD,digitaldollar
Vesta Stable,VST,vesta-stable
Kolibri USD,KUSD,kolibri-usd
USDtez,USDTZ,usdtez
Moremoney USD,MONEY,moremoney-usd
Youves uUSD,UUSD,youves-uusd
Interest Protocol,USDI,interest-protocol
LUGH,EURL,lugh
Note,NOTE,note
Lista USD,LISUSD,helio-protocol-hay
USK,USK,usk
arUSD,ARUSD,arable-usd
USDW,USDW,usdw
BOB,BOB,bob
Real USD,USDR,real-usd
USDi,USDI,bank-of-chain
iUSD,IUSD,iusd
XAI,XAI,xai
Redeemable USD,RUSD,redeemable
Iron Bank EURO,IBEUR,iron-bank-euro
Meme Dollar,PINA,meme-dollar
Djed StableCoin,DJED,djed
BaoUSD,BAOUSD,baousd
Coin98 Dollar,CUSD,coin98-dollar
USP Stablecoin,USP,platypus-usd
EUROe Stablecoin,EUROe,euroe-stablecoin
Stabl.fi Cash,CASH,stabl-fi
Digital Standard Unit,DSU,digital-standard-unit
Monerium EUR emoney,EURE,monerium-eur-money
Offshift anonUSD,ANONUSD,offshift-anonusd
NXUSD,NXUSD,nxusd
Davos Protocol,DUSD,davos-protocol
DeFi Franc,DCHF,defi-franc
Electronic USD,EUSD,electronic-usd
Czodiac USD,CZUSD,czusd
Deuterium,d2O,dam-finance
eUSD,EUSD,eusd-27a558b0-8b5b-4225-a614-63539da936f4
crvUSD,crvUSD,crvusd
DAI+,DAI+,overnight-dai
USDT+,USDT+,usdtplus
SILK,SILK,silk-bcec1136-561c-4706-a42c-8b67d0d7f7d2
CLever USD,clevUSD,clever-usd
R,R,r
GRAI,GRAI,grai
Ethos Reserve Note,ERN,ethos-reserve-note
GHO,GHO,gho
First Digital USD,FDUSD,first-digital-usd
PayPal USD,PYUSD,paypal-usd
PSY,sLSD,
GYEN,GYEN,gyen
STAR,STAR,preon-star
peg-eUSD,peUSD,peusd
eUSD (V2),eUSD(v2),eusd-v2
mkUSD,mkUSD,prisma-mkusd
Alternity CNY,LCNY,alternity-cny
Nexus,NEX,nexus1
Ondo US Dollar Yield,USDY,ondo-us-dollar-yield
Savvy USD,SVUSD,savvy-usd
UAHT,UAHT,uaht
USDM,USDM,mountain-protocol-usdm
NARS,NARS,num-ars
Phase Dollar,CASH,phase-dollar
Inter Stable Token,IST,inter-stable-token
Collateralized Debt Token,CDT,collateralized-debt-token
ARYZE eUSD,eUSD,aryze-eusd
ARYZE eEUR,eEUR,aryze-eeur
ARYZE eGBP,eGBP,aryze-egbp
HYDT,HYDT,hydt-protocol-hydt
Verified USD,USDV,verified-usd-foundation-usdv
High Yield USD,HYUSD,high-yield-usd
CAD Coin,CADC,cad-coin
Ethena USDe,USDe,ethena-usde
Anchored Coins AEUR,AEUR,anchored-coins-eur
Mynth MyUSD,MyUSD,myusd
Sable Coin,USDS,sable-coin
USD Stable Colb,SCB,colb-usd-stablecolb
zkUSD Dollar,zkUSD,goal3
Liquid Loans USDL,USDL,liquid-loans-usdl
Binance Peg BUSD,BUSD,binance-peg-busd
Bucket Protocol BUCK Stablecoin,BUCK,bucket-protocol-buck-stablecoin
Glo Dollar,USDGLO,glo-dollar
VNX Swiss Franc,VCHF,vnx-swiss-franc
VNX EURO,VEUR,vnx-euro
RIF US Dollar,USDRIF,rif-us-dollar
Sovryn Dollar,DLLR,sovryn-dollar
Quantoz EURD,EURD,quantoz-eurd
XUSD,XUSD,xusd-babelfish
PrismaLRT Ultra,ULTRA,prismalrt-ultra
USDCB,USDCB,usdcb
AUDD,AUDD,novatti-australian-digital-dollar
Cygnus Finance Global USD,cgUSD,cygnus-finance-global-usd
Fractional ETH,fETH,f-x-protocol-fractional-eth
fxUSD,fxUSD,f-x-protocol-usd
GAI Stablecoin,GAI,goku-money-gai
EURO3,EURO3,euro3
Lets Get HAI,HAI,let-s-get-hai
USDB Blast,USDB,usdb
BlackRock USD,BUIDL,blackrock-usd-institutional-digital-liquidity-fund
rUSD,rUSD,fx-rusd
PXDC Stablecoin,PXDC,powercity-pxdc
Fathom Dollar,FXD,fathom-dollar
UNO,UNO,nostra-uno
Web 3 Dollar,USD3,web-3-dollar
CJPY,CJPY,convertible-jpy-token
Bread,BREAD,bread-fake-cg
Zunami USD,zunUSD,zunUSD
Zunami ETH,zunETH,zunETH
Bitcoin USD,BtcUSD,bitcoin-usd-btcfi
Magma Wen,WEN,magma-wen
Gyroscope GYD,GYD,gyroscope-gyd
International Stable Currency,ISC,international-stable-currency
KNOX Dollar,KNOX,knox-dollar
Orby USC,USC,orby-network-usc-stablecoin
btcUSD,btcUSD,f-x-btc-usd
Revenue Generating USD,rgUSD,revenue-generating-usd
bitSmiley USD,bitUSD,bitsmiley-bitusd
USDA,USDA,angle-usd
Chi USC,USC,usc-2
Usual USD,USD0,usual-usd
Classic USD,USC,classic-usd
Resolv USD,USR,resolv-usr
Stable Jack aUSD,aUSD,stable-jack-ausd
Celo Real,CREAL,celo-real-creal
Hedera Swiss Franc,HCHF,hedera-swiss-franc
HEX Dollar Coin,HEXDC,hex-dollar-coin
Anzen USDz,USDz,anzen-usdz
Chad USD,cUSD,chad-usd
Balanced Dollars,BNUSD,balanced-dollars
Agora Dollar,AUSD,agora-dollar
Opus CASH,CASH,opus-cash
Dyad,DYAD,dyad
Dackie USD,DCKUSD,dackie-usd
